Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
20-03-1985,,,24.8,91.0,10.0,0.0,0.0,0.0,0.0,N 
21-03-1985,,,25.4,90.0,46.0,0.0,0.0,0.0,0.0,N 
22-03-1985,,,25.7,88.0,6.0,0.0,0.0,0.0,0.0,N 
23-03-1985,,,24.2,95.0,125.0,0.0,0.0,0.0,0.0,N 
24-03-1985,,,25.2,92.0,49.0,0.0,0.0,0.0,0.0,N 
25-03-1985,,,23.5,93.0,9.0,0.0,0.0,0.0,0.0,N 
26-03-1985,,,24.4,91.0,0.0,0.0,0.0,0.0,0.0,N 
27-03-1985,,,25.4,86.0,0.0,0.0,0.0,0.0,0.0,N 
28-03-1985,,,25.1,84.0,0.0,0.0,0.0,0.0,0.0,N 
29-03-1985,,,24.2,94.0,0.0,0.0,0.0,0.0,0.0,N 
30-03-1985,,,23.5,72.0,24.0,0.0,0.0,0.0,0.0,N 
31-03-1985,,,22.9,100.0,26.0,0.0,0.0,0.0,0.0,N 
01-04-1985,,,23.8,98.0,3.0,0.0,0.0,0.0,0.0,N 
02-04-1985,,,24.3,95.0,0.0,0.0,0.0,0.0,0.0,N 
03-04-1985,,,23.9,98.0,11.0,0.0,0.0,0.0,0.0,N 
04-04-1985,,,24.0,98.0,33.0,0.0,0.0,0.0,0.0,N 
05-04-1985,,,23.4,98.0,115.0,0.0,0.0,0.0,0.0,N 
06-04-1985,,,23.9,98.0,0.0,0.0,0.0,0.0,0.0,N 
07-04-1985,,,25.9,88.0,8.0,0.0,0.0,0.0,0.0,N 
08-04-1985,,,25.7,84.0,0.0,0.0,0.0,0.0,0.0,N 
09-04-1985,,,26.4,86.0,0.0,0.0,0.0,0.0,0.0,N 
10-04-1985,,,26.5,87.0,0.0,0.0,0.0,0.0,0.0,N 
11-04-1985,,,24.9,95.0,16.0,0.0,0.0,0.0,0.0,N 
12-04-1985,,,23.9,98.0,27.0,0.0,0.0,0.0,0.0,N 
13-04-1985,,,23.5,92.0,1.8,0.0,0.0,0.0,0.0,N 
14-04-1985,,,23.8,98.0,10.0,0.0,0.0,0.0,0.0,N 
15-04-1985,,,24.4,91.0,0.0,0.0,0.0,0.0,0.0,N 
16-04-1985,,,25.4,91.0,5.0,0.0,0.0,0.0,0.0,N 
17-04-1985,,,25.1,86.0,46.0,0.0,0.0,0.0,0.0,N 
18-04-1985,,,23.2,94.0,30.0,0.0,0.0,0.0,0.0,N 
19-04-1985,,,23.4,96.0,74.0,0.0,0.0,0.0,0.0,N 
20-04-1985,,,23.7,94.0,0.0,0.0,0.0,0.0,0.0,N 
21-04-1985,,,25.5,92.0,0.0,0.0,0.0,0.0,0.0,N 
22-04-1985,,,25.3,93.0,5.0,0.0,0.0,0.0,0.0,N 
